,0.0,2.0,4.0,6.0,8.0,10.0,12.0,14.0,16.0,18.0,20.0,22.0,24.0,26.0,28.0,30.0
40.0,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.13,0.12,0.12,0.11,0.11
38.0,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.14,0.14,0.13,0.12,0.12,0.11,0.11
36.0,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.15,0.14,0.14,0.13,0.12,0.12,0.11,0.11
34.0,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.15,0.14,0.14,0.13,0.12,0.12,0.11,0.1
32.0,0.19,0.19,0.19,0.19,0.18,0.17,0.17,0.16,0.15,0.14,0.14,0.13,0.12,0.11,0.11,0.1
30.0,0.2,0.2,0.2,0.19,0.19,0.18,0.17,0.16,0.15,0.14,0.14,0.13,0.12,0.11,0.11,0.1
28.0,0.21,0.21,0.2,0.2,0.19,0.18,0.17,0.16,0.15,0.14,0.13,0.13,0.12,0.11,0.1,0.1
26.0,0.22,0.21,0.21,0.2,0.2,0.18,0.17,0.16,0.15,0.14,0.13,0.12,0.12,0.11,0.1,0.09
24.0,0.22,0.22,0.22,0.21,0.2,0.19,0.18,0.16,0.15,0.14,0.13,0.12,0.11,0.1,0.1,0.09
22.0,0.23,0.23,0.23,0.22,0.2,0.19,0.18,0.16,0.15,0.14,0.13,0.12,0.11,0.1,0.09,0.09
20.0,0.25,0.24,0.24,0.22,0.21,0.19,0.18,0.16,0.15,0.13,0.12,0.11,0.1,0.1,0.09,0.08
18.0,0.26,0.26,0.25,0.23,0.21,0.19,0.18,0.16,0.14,0.13,0.12,0.11,0.1,0.09,0.09,0.08
16.0,0.27,0.27,0.26,0.24,0.22,0.19,0.17,0.15,0.14,0.12,0.11,0.1,0.09,0.09,0.08,0.08
14.0,0.29,0.29,0.27,0.24,0.22,0.19,0.17,0.15,0.13,0.12,0.11,0.1,0.09,0.08,0.08,0.07
12.0,0.32,0.31,0.28,0.25,0.21,0.18,0.16,0.14,0.12,0.11,0.1,0.09,0.08,0.08,0.07,0.07
10.0,0.35,0.33,0.29,0.25,0.21,0.17,0.15,0.13,0.11,0.1,0.09,0.08,0.08,0.07,0.07,0.06
8.0,0.39,0.36,0.3,0.24,0.19,0.16,0.13,0.11,0.1,0.09,0.08,0.08,0.07,0.07,0.06,0.06
6.0,0.44,0.4,0.3,0.23,0.17,0.14,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.06,0.06
4.0,0.54,0.43,0.28,0.19,0.14,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.05
2.0,0.72,0.41,0.21,0.15,0.12,0.1,0.09,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05
0.0,1.0,0.25,0.16,0.13,0.11,0.1,0.09,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06
